,Départ,Arrivée,Prix,Temps entre la réservation et le vol
470,Nice,Ajaccio,239,10 à 11 mois
471,Paris,Bastia,239,0 à 1 mois
472,Paris,Bastia,213,1 à 2 mois
473,Paris,Bastia,198,2 à 3 mois
474,Paris,Bastia,237,3 à 4 mois
475,Paris,Bastia,247,4 à 5 mois
476,Paris,Bastia,231,5 à 6 mois
477,Paris,Bastia,241,6 à 7 mois
478,Paris,Bastia,195,7 à 8 mois
479,Paris,Bastia,307,8 à 9 mois
480,Paris,Bastia,264,9 à 10 mois
481,Paris,Bastia,284,10 à 11 mois
482,Paris,Bastia,329,11 à 12 mois
483,Nantes,Bastia,231,0 à 1 mois
484,Nantes,Bastia,196,1 à 2 mois
485,Nantes,Bastia,210,2 à 3 mois
486,Nantes,Bastia,319,3 à 4 mois
487,Nantes,Bastia,343,4 à 5 mois
488,Nantes,Bastia,310,5 à 6 mois
489,Nantes,Bastia,419,6 à 7 mois
490,Nantes,Bastia,456,7 à 8 mois
491,Nantes,Bastia,493,8 à 9 mois
492,Nantes,Bastia,353,9 à 10 mois
493,Nantes,Bastia,241,10 à 11 mois
494,Nantes,Bastia,287,11 à 12 mois
495,Marseille,Bastia,226,0 à 1 mois
496,Marseille,Bastia,169,1 à 2 mois
497,Marseille,Bastia,148,2 à 3 mois
498,Marseille,Bastia,272,3 à 4 mois
499,Marseille,Bastia,165,4 à 5 mois
500,Marseille,Bastia,166,5 à 6 mois
501,Marseille,Bastia,203,6 à 7 mois
502,Marseille,Bastia,835,7 à 8 mois
503,Marseille,Bastia,167,8 à 9 mois
504,Marseille,Bastia,200,9 à 10 mois
505,Marseille,Bastia,246,10 à 11 mois
506,Marseille,Bastia,334,11 à 12 mois
507,Bordeaux,Bastia,217,0 à 1 mois
508,Bordeaux,Bastia,187,1 à 2 mois
509,Bordeaux,Bastia,184,2 à 3 mois
510,Bordeaux,Bastia,289,3 à 4 mois
511,Bordeaux,Bastia,331,4 à 5 mois
512,Bordeaux,Bastia,420,5 à 6 mois
513,Bordeaux,Bastia,393,6 à 7 mois
514,Bordeaux,Bastia,550,7 à 8 mois
515,Bordeaux,Bastia,358,8 à 9 mois
516,Bordeaux,Bastia,280,9 à 10 mois
517,Bordeaux,Bastia,264,10 à 11 mois
518,Bordeaux,Bastia,264,11 à 12 mois
519,Bruxelles,Bastia,374,0 à 1 mois
520,Bruxelles,Bastia,267,1 à 2 mois
521,Bruxelles,Bastia,230,2 à 3 mois
522,Bruxelles,Bastia,346,3 à 4 mois
523,Bruxelles,Bastia,349,4 à 5 mois
524,Bruxelles,Bastia,264,5 à 6 mois
525,Bruxelles,Bastia,454,6 à 7 mois
526,Bruxelles,Bastia,447,7 à 8 mois
